asset,regime_type,regime_value,model,n,rmse,mae,qlike
BTC-USD,year,2026,HAR,156,2.1057678636e-03,8.5239367186e-04,1.7285190409e+00
ETH-USD,tercile,low,LightGBM,448,1.6150278363e-04,1.1896420780e-04,1.6691384385e+00
ETH-USD,tercile,low,EWMA,448,1.2186334811e-03,1.0067071824e-03,3.5166622669e+00
ETH-USD,tercile,low,GARCH,448,1.3627865944e-03,1.2662965898e-03,3.8476100065e+00
ETH-USD,tercile,low,HAR,448,1.2677538472e-03,1.1845587114e-03,3.8068303158e+00
ETH-USD,tercile,mid,LightGBM,448,2.0682735607e-04,1.5967963115e-04,8.4661941230e-01
ETH-USD,tercile,mid,EWMA,448,1.1153022691e-03,8.7103057602e-04,7.4579569773e-01
ETH-USD,tercile,mid,GARCH,448,1.1723364567e-03,1.0384851671e-03,8.9210217235e-01
ETH-USD,tercile,mid,HAR,448,1.2394671904e-03,1.0606141348e-03,9.0191413987e-01
ETH-USD,tercile,high,LightGBM,448,5.3216331227e-03,2.8664534361e-03,1.3292430383e+01
ETH-USD,tercile,high,EWMA,448,4.8573338678e-03,2.2923448053e-03,1.5402093022e+00
ETH-USD,tercile,high,GARCH,448,4.8732122806e-03,2.2050323312e-03,1.1425640136e+00
ETH-USD,tercile,high,HAR,448,4.8438040706e-03,2.2329104915e-03,1.1002243320e+00
ETH-USD,year,2022,LightGBM,92,5.5481134765e-03,1.6029446309e-03,6.0505797390e+00
ETH-USD,year,2022,EWMA,92,5.3868063293e-03,2.4446485138e-03,2.2564349159e+00
ETH-USD,year,2022,GARCH,92,5.5057024982e-03,2.7647103901e-03,2.4099219852e+00
ETH-USD,year,2022,HAR,92,5.5431607072e-03,2.6213847279e-03,2.4661666556e+00
ETH-USD,year,2023,LightGBM,365,1.3051572602e-03,5.3504894545e-04,4.4450780215e+00
ETH-USD,year,2023,EWMA,365,1.2472909539e-03,7.0276328536e-04,1.9797265778e+00
ETH-USD,year,2023,GARCH,365,1.4492705581e-03,1.1031654717e-03,2.0869817928e+00
ETH-USD,year,2023,HAR,365,1.4221845157e-03,1.0951241856e-03,2.0705933052e+00
ETH-USD,year,2024,LightGBM,366,2.6817234407e-03,1.0061824691e-03,3.9682341413e+00
ETH-USD,year,2024,EWMA,366,2.6176667615e-03,1.3158105647e-03,1.7761134671e+00
ETH-USD,year,2024,GARCH,366,2.5906898401e-03,1.2861192395e-03,1.7245317565e+00
ETH-USD,year,2024,HAR,366,2.6049690429e-03,1.3432542214e-03,1.7042581655e+00
ETH-USD,year,2025,LightGBM,365,3.7335475709e-03,1.4076855344e-03,6.9011564957e+00
ETH-USD,year,2025,EWMA,365,3.5652941994e-03,1.8482135814e-03,1.9377735599e+00
ETH-USD,year,2025,GARCH,365,3.5741611661e-03,1.8136873961e-03,1.9459923389e+00
ETH-USD,year,2025,HAR,365,3.5306377641e-03,1.7450026916e-03,1.9133874222e+00
ETH-USD,year,2026,LightGBM,156,3.1464669167e-03,1.1805884894e-03,5.9722160144e+00
ETH-USD,year,2026,EWMA,156,3.0037912706e-03,1.4781801424e-03,2.0003707953e+00
ETH-USD,year,2026,GARCH,156,3.0088600165e-03,1.4786693411e-03,1.9893123757e+00
ETH-USD,year,2026,HAR,156,2.9098089959e-03,1.5175422123e-03,1.9078155798e+00
MSFT,tercile,low,LightGBM,273,3.6950899199e-05,3.1201566197e-05,1.6535095729e+00
MSFT,tercile,low,EWMA,273,2.5286393843e-04,2.1069931515e-04,3.1761415909e+00
MSFT,tercile,low,GARCH,273,2.7706125486e-04,2.4466796820e-04,3.3524560242e+00
MSFT,tercile,low,HAR,273,2.9958609045e-04,2.7908731903e-04,3.5248618830e+00
MSFT,tercile,mid,LightGBM,273,5.0583583289e-05,3.6879653014e-05,4.3147038813e-01
MSFT,tercile,mid,EWMA,273,2.1453586377e-04,1.6149377612e-04,5.5582128238e-01
MSFT,tercile,mid,GARCH,273,2.2265537330e-04,1.8030261477e-04,6.2676413287e-01
MSFT,tercile,mid,HAR,273,2.4855646808e-04,2.2192407950e-04,7.5311503312e-01
MSFT,tercile,high,LightGBM,273,1.1618334634e-03,5.4674737954e-04,8.0796526010e+00
MSFT,tercile,high,EWMA,273,1.0941909371e-03,4.1840815875e-04,1.4045215413e+00
MSFT,tercile,high,GARCH,273,1.0964398971e-03,4.1634308662e-04,1.2564857574e+00
MSFT,tercile,high,HAR,273,1.0770171114e-03,3.8945119928e-04,8.3289222951e-01
MSFT,year,2023,LightGBM,228,4.6472621995e-04,1.9957136946e-04,3.4441346214e+00
MSFT,year,2023,EWMA,228,4.4051785373e-04,2.4628335689e-04,1.4387516585e+00
MSFT,year,2023,GARCH,228,4.5597602626e-04,3.0437214437e-04,1.4771776640e+00
MSFT,year,2023,HAR,228,4.6386086149e-04,3.2411411692e-04,1.5268615205e+00
MSFT,year,2024,LightGBM,252,3.4521641716e-04,1.3898870044e-04,2.7739469745e+00
MSFT,year,2024,EWMA,252,3.3467569971e-04,1.7595445991e-04,1.6115236043e+00
MSFT,year,2024,GARCH,252,3.3007165228e-04,1.7179574511e-04,1.5241155662e+00
MSFT,year,2024,HAR,252,3.4049016920e-04,2.1202285903e-04,1.5740982610e+00
MSFT,year,2025,LightGBM,250,7.6451593359e-04,2.0850680535e-04,3.5162910786e+00
MSFT,year,2025,EWMA,250,7.5932873453e-04,2.8815615850e-04,1.9483749774e+00
MSFT,year,2025,GARCH,250,7.6061117165e-04,2.9648199789e-04,2.0070751304e+00
MSFT,year,2025,HAR,250,7.5418027124e-04,2.9965447214e-04,1.9252675559e+00
MSFT,year,2026,LightGBM,89,1.2728269441e-03,3.9543911657e-04,4.6244335795e+00
MSFT,year,2026,EWMA,89,1.2553489517e-03,4.8653901529e-04,2.0340131952e+00
MSFT,year,2026,GARCH,89,1.2684333112e-03,4.8167141168e-04,2.3225314826e+00
MSFT,year,2026,HAR,89,1.2432680531e-03,4.5904373073e-04,1.9005977454e+00
SPY,tercile,low,LightGBM,273,1.8267451562e-05,1.3987709437e-05,1.8616422239e+00
SPY,tercile,low,EWMA,273,1.3240106893e-04,8.1992776794e-05,3.2815782236e+00
SPY,tercile,low,GARCH,273,2.0882233587e-04,1.0753427196e-04,3.4813914160e+00
SPY,tercile,low,HAR,273,1.3341206250e-04,1.0412893588e-04,3.6177534227e+00
SPY,tercile,mid,LightGBM,273,1.5929137519e-05,1.2369983860e-05,3.1964289828e-01
SPY,tercile,mid,EWMA,273,1.0877688522e-04,5.8960233121e-05,4.9991534953e-01
SPY,tercile,mid,GARCH,273,2.0900932972e-04,8.7785046068e-05,6.3501650620e-01
SPY,tercile,mid,HAR,273,1.1803573125e-04,8.1522467025e-05,7.0842656067e-01
SPY,tercile,high,LightGBM,273,6.8671032211e-04,2.1201208877e-04,5.5413682383e+00
SPY,tercile,high,EWMA,273,6.6183340624e-04,1.7805590588e-04,1.1594928350e+00
SPY,tercile,high,GARCH,273,6.9871126166e-04,1.9276101193e-04,1.3363404668e+00
SPY,tercile,high,HAR,273,6.5543391096e-04,1.5997552217e-04,6.8702198245e-01
SPY,year,2023,LightGBM,228,9.3329071302e-05,5.4241373791e-05,2.4270136557e+00
SPY,year,2023,EWMA,228,8.6314391625e-05,6.6384591170e-05,1.4269996474e+00
SPY,year,2023,GARCH,228,1.0125079351e-04,8.1375214266e-05,1.5082056558e+00
SPY,year,2023,HAR,228,1.0585210814e-04,9.2560539732e-05,1.5736678581e+00
SPY,year,2024,LightGBM,252,1.2395774676e-04,5.4506074154e-05,2.6091328684e+00
SPY,year,2024,EWMA,252,1.1927579490e-04,6.8837563472e-05,1.6787297548e+00
SPY,year,2024,GARCH,252,1.2361009069e-04,7.4945882683e-05,1.8724364367e+00
SPY,year,2024,HAR,252,1.2053682783e-04,7.6457968527e-05,1.6647946162e+00
SPY,year,2025,LightGBM,250,6.9668487895e-04,1.3200804378e-04,2.7337491734e+00
SPY,year,2025,EWMA,250,6.9495210490e-04,1.8992578683e-04,1.8427040109e+00
SPY,year,2025,GARCH,250,7.7275112164e-04,2.4182985342e-04,2.1399046306e+00
SPY,year,2025,HAR,250,6.8740493646e-04,1.8319090090e-04,1.8182140825e+00
SPY,year,2026,LightGBM,89,1.3815610103e-04,6.7082872454e-05,2.4043424463e+00
SPY,year,2026,EWMA,89,1.3294312515e-04,8.0058814852e-05,1.5709827964e+00
SPY,year,2026,GARCH,89,1.3552368348e-04,9.0433207144e-05,1.5494301234e+00
SPY,year,2026,HAR,89,1.3384066509e-04,9.1991170723e-05,1.5250123720e+00
